"title","description"
"T-1005 · Settings","Blocklist, retention, models, MCP tokens and revocation. AC: every P0 privacy control reachable.

deps: T-1001, T-1405

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E10""
/milestone %""M2-Retrieval"""
"T-1006 · Timeline view","AC: session/day grouping consistent with fndr.timeline output.

deps: T-1002

/label ~""lane::frontend"" ~""prio::p1"" ~""epic::E10""
/milestone %""M4-Comprehension"""
"T-1008 · Sample vault and empty-vault state","Loadable sample vault built from the T-501 fixtures (""explore a sample day"" in onboarding, also used by the demo and by evaluators who install), plus an explicit designed empty-vault state so day-one is an experience, not a dead end (cold-start fix). AC: fresh install can explore the sample day; empty vault explains what will appear and when.

deps: T-501, T-1003

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E10""
/milestone %""M2-Retrieval"""
"T-1009 · Morning digest","Deterministic ""yesterday"" digest in the menu bar (composition over session records, no VLM required): a daily payoff that requires no invocation habit. AC: digest renders each morning from real capture; dismissible; zero LLM dependency.

deps: T-505

/label ~""lane::frontend"" ~""prio::p1"" ~""epic::E10""
/milestone %""M4-Comprehension"""
"T-1101 · Entity extraction and graph store","UUIDv5 identity, confidence weights, 0.4 edge floor, no fabricated conflict edges; SQLite tables with indexes. AC: v1 stable-id tests green; extraction off the hot path.

deps: T-201, T-601

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E11""
/milestone %""M4-Comprehension"""
"T-1102 · Traversal and GraphPlan wiring","Recursive-CTE neighborhood, paths with labeled steps, intent-to-edges table. AC: bounded traversal latency test; feeds the graph_context tool (T-710).

deps: T-1101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E11""
/milestone %""M4-Comprehension"""
"T-1103 · Real community detection","Actual Louvain (modularity), community naming. AC: known-graph fixture yields expected partitions (the v1 connected-components bug is the named test).

deps: T-1102

/label ~""lane::backend"" ~""prio::p1"" ~""epic::E11""
/milestone %""M4-Comprehension"""
"T-1104 · 3D graph rebuild","Direct typed-schema consumption, instanced nodes, batched edges, token colors, 29-to-5 relationship mapping port. AC: 2k nodes at 60 fps on the reference machine; zero hardcoded colors.

deps: T-1102, T-1401

/label ~""lane::frontend"" ~""prio::p1"" ~""epic::E11""
/milestone %""M4-Comprehension"""
"T-1105 · Graph-route eval experiment","AC: promotion decision recorded with bench numbers (ADR-006 gate).

deps: T-1102, T-508

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E11""
/milestone %""M4-Comprehension"""
"T-1201 · Swift sidecar","FluidAudio (Parakeet + pyannote), SCK system audio, versioned stdio protocol, supervised lifecycle. AC: transcription and diarization on a fixture recording; typed unavailable states.

deps: T-403

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E12""
/milestone %""M4-Comprehension"""
"T-1202 · Meeting ingestion","Sessions and segments through the same write path as capture; speaker labels; links to concurrent screen context. AC: meeting content retrievable and citable like any memory.

deps: T-1201, T-306

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E12""
/milestone %""M4-Comprehension"""
"T-1203 · Meetings UI","Record controls, live status, transcript view with speakers, search. AC: recording state always visible.

deps: T-1202

/label ~""lane::frontend"" ~""prio::p1"" ~""epic::E12""
/milestone %""M4-Comprehension"""
"T-1204 · Meeting privacy integration","Blocklist and incognito respected. AC: incognito blocks recording start; test.

deps: T-1202

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E12""
/milestone %""M4-Comprehension"""
"T-1205 · Meetings consent defaults and design note","Meetings record other people, and several jurisdictions require all-party consent. Off by default; explicit per-meeting start action (never ambient); the visible recording indicator; a distinct, shorter retention default for meeting transcripts; a short consent design note in docs. AC: defaults implemented; note reviewed by all four.

deps: none

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E12""
/milestone %""M4-Comprehension"""
"T-1206 · Model attribution notices","CC-BY-4.0 attribution for Parakeet and pyannote in the app's acknowledgements (a redistribution requirement). AC: acknowledgements surface lists all model licenses.

deps: T-1201

/label ~""lane::platform"" ~""prio::p1"" ~""epic::E12""
/milestone %""M4-Comprehension"""
"T-1301 · Omnibar","Ported keyboard/a11y/race-guard model; search plus ask modes. AC: v1 interaction contract preserved; component tests (v1 had zero).

deps: T-906, T-1002

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E13""
/milestone %""M5-AssistantProof"""
"T-1302 · Smart clipboard","History with privacy guards, autofill overlay. AC: blocklisted sources never enter history.

deps: T-803

/label ~""lane::frontend"" ~""prio::p1"" ~""epic::E13""
/milestone %""M5-AssistantProof"""
"T-1303 · Task extraction and panel","Extraction via the model queue; real task state. AC: no placeholder UI; extraction precision spot-check documented.

deps: T-604

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E13""
/milestone %""M5-AssistantProof"""
"T-1304 · Focus mode","Drift detection surfaced from capture continuity signals. AC: event-driven, no polling.

deps: T-1001

/label ~""lane::frontend"" ~""prio::p1"" ~""epic::E13""
/milestone %""M5-AssistantProof"""
"T-1305 · Proactive resurfacing","Rate-limited, quiet, dismissible. AC: frequency cap tested; off by default until quality bar met.

deps: T-505

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E13""
/milestone %""M5-AssistantProof"""
"T-1306 · Project context file export","Generate a refreshable agent warm-start file (CLAUDE.md-style) per project from context packs, regenerated daily, for agents without MCP access (v1 pain point 7 differentiator). Pulled into the spine: it improves every agent session the builders already run with zero invocation habit, which is the retention loop. AC: a fresh agent session using only the exported file answers project questions correctly; daily regeneration verified.

deps: T-702

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E13""
/milestone %""M3-AgentContext"""
"T-1401 · Token system and palettes port","cinematic-palettes with tests, semantic tokens, dark/light. AC: v1 palette tests green; no raw hex in components (lint).

deps: T-1001

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E14""
/milestone %""M1-Foundations"""
"T-1405 · Component library","Shared primitives (button, panel, card, input, chip, dialog) built once against the spec and tokens; feature UI may not hand-roll primitives (v1 pain point 9). AC: gallery page renders every primitive in every state; a lint or review rule blocks ad-hoc primitives.

deps: T-1401, T-1404

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E14""
/milestone %""M1-Foundations"""
"T-1402 · Wallpaper system","GLSL aurora fields driven by palette triples. AC: palette switch updates wallpaper live.

deps: T-1401

/label ~""lane::frontend"" ~""prio::p1"" ~""epic::E14""
/milestone %""M4-Comprehension"""
"T-1403 · Theming completeness pass","Every surface including the 3D graph on tokens. AC: token-coverage lint clean.

deps: T-1401, T-1104

/label ~""lane::frontend"" ~""prio::p1"" ~""epic::E14""
/milestone %""M5-AssistantProof"""
"T-1404 · Design language spec","Type scale, spacing, color roles, elevation, motion, and component inventory, written before feature UI exists; includes the explicit anti-slop bar (no gradient soup, no boxes-in-containers, no ad-hoc buttons, consistent fonts). AC: reviewed by all four; every later UI ticket links to it.

deps: none

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E14""
/milestone %""M1-Foundations"""
"T-1501 · Benchmark page and FNDR-Bench public release","Published FNDR-Bench numbers from the frozen held-out split, resource budgets, methodology with number lineage (records-per-day to corpus-size derivations), reproduce instructions, plus public release of the corpus and harness with an external-submission track. Framing: the first public benchmark for screen-derived personal memory retrieval, with FNDR as the reference implementation; an honestly published loss on a slice is itself credibility. AC: numbers regenerate via make bench on the reference machine; corpus and harness public; inter-rater agreement reported.

deps: T-508, T-511, T-514

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E15""
/milestone %""M5-AssistantProof"""
"T-1502 · Docs site","Install, privacy, MCP contract, architecture, plus a ""limits and failure modes"" page fed by the incidents-and-reversals log (the staff-interview artifact). Promoted to p0: two PRD goals depend on it. AC: builds from repo; linked from README.

deps: T-706, T-806

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E15""
/milestone %""M6-Ship"""
"T-1503 · Demo video","The 3-minute story built on the counterfactual cut (same agent task, FNDR off then on) and the live privacy negative, then graph/omnibar/theming beats; show the pack artifact itself, not just the chat output. AC: final cut published.

deps: T-905

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E15""
/milestone %""M6-Ship"""
"T-1504 · Companion API contract v2 and relay design note","Spec-only: v1 contract carried with pair-start off the network, permission scopes, WS push section; relay note is design-only (ADR-004 P2). AC: contract reviewed against the engine API; no code shipped.

deps: T-702

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E15""
/milestone %""M5-AssistantProof"""
"T-1505 · v1.0.0 release","Tagged release, updater manifest, announcement README rewrite. AC: clean-machine install passes the QA checklist; PRD G-metrics reviewed and recorded.

deps: T-903, T-1501, T-1503

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E15""
/milestone %""M6-Ship"""
"T-1506 · Hardening and performance pass","Systematic pass against every published target (latency, RSS, CPU, storage, pack p95) plus soak and failure-injection sweeps; misses are release blockers or written exceptions. AC: all published numbers re-measured on the release candidate; exceptions documented.

deps: T-1501

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E15""
/milestone %""M6-Ship"""
